Record_id,name,link
1,dow_jones_index.csv,https://archive.ics.uci.edu/ml/machine-learning-databases/00312/
2,avocado.csv,https://www.kaggle.com/neuromusic/avocado-prices/downloads/avocado-prices.zip/1
3,Online Retail.csv,https://archive.ics.uci.edu/ml/machine-learning-databases/00352/
